7, nn, nn_2opt, nn_as, nn_as_2opt, em, em_2opt, vns, ts
Instance_0, 29813.012947, 24727.094068, 28092.353416, 24358.302499, 27711.547071, 26234.750850, 24469.195490, 24131.014245
Instance_1, 28510.629127, 24544.194197, 27617.377107, 24055.991518, 27599.616320, 26101.962900, 24288.700965, 23828.002294
Instance_2, 28669.514102, 24742.091001, 27629.909682, 24420.962839, 27366.270123, 25719.452067, 24585.248493, 24174.757548
Instance_3, 29532.975615, 24297.605115, 27378.803576, 23902.390444, 27927.136870, 25938.343062, 23914.408577, 23915.573617
Instance_4, 28266.607768, 24061.985072, 27542.802587, 23885.750064, 27325.212175, 25588.349562, 23808.568064, 23538.642807
Instance_5, 27944.830865, 24199.805463, 27542.058461, 23759.258405, 27745.397749, 25450.951340, 23776.413981, 23560.818418
Instance_6, 29184.982260, 24363.551539, 28053.231686, 24062.727774, 27868.121313, 26117.859579, 24095.408090, 23635.834983
Instance_7, 28550.981270, 24239.972065, 27594.975559, 24192.113161, 27665.484358, 26017.591949, 24253.417586, 23876.384022
Instance_8, 28728.018501, 24224.677602, 27550.911836, 23980.166662, 27166.120283, 25715.563853, 24034.311922, 23949.982346
Instance_9, 28057.201749, 24356.111741, 27431.471734, 23919.691042, 27616.106328, 25709.284201, 24031.832235, 23533.247843